word: carp           	frequency: 19
word: like           	frequency: 10
word: home           	frequency: 9
word: fun            	frequency: 6
word: back           	frequency: 6
word: let            	frequency: 5
word: begin          	frequency: 5
word: click          	frequency: 5
word: see            	frequency: 5
word: get            	frequency: 5
word: big            	frequency: 5
word: come           	frequency: 5
word: know           	frequency: 4
word: channel        	frequency: 4
word: play           	frequency: 3
word: lake           	frequency: 3
word: thing          	frequency: 3
word: family         	frequency: 3
word: country        	frequency: 3
word: thanks         	frequency: 3
word: fishing        	frequency: 3
word: sure           	frequency: 3
word: well           	frequency: 3
word: still          	frequency: 3
word: gon            	frequency: 3
word: make           	frequency: 3
word: game           	frequency: 3
word: ceiling        	frequency: 3
word: one            	frequency: 3
word: death          	frequency: 2
word: water          	frequency: 2
word: might          	frequency: 2
word: lou            	frequency: 2
word: year           	frequency: 2
word: first          	frequency: 2
word: need           	frequency: 2
word: day            	frequency: 2
word: working        	frequency: 2
word: joe            	frequency: 2
word: bullshit       	frequency: 2
word: little         	frequency: 2
word: tonight        	frequency: 2
word: take           	frequency: 2
word: note           	frequency: 2
word: pay            	frequency: 2
word: eat            	frequency: 2
word: way            	frequency: 2
word: could          	frequency: 2
word: want           	frequency: 2
word: problem        	frequency: 2
