word: cuttlefish     	frequency: 36
word: like           	frequency: 14
word: get            	frequency: 9
word: one            	frequency: 8
word: play           	frequency: 7
word: fun            	frequency: 7
word: make           	frequency: 7
word: love           	frequency: 7
word: see            	frequency: 6
word: also           	frequency: 6
word: think          	frequency: 6
word: change         	frequency: 6
word: let            	frequency: 5
word: begin          	frequency: 5
word: click          	frequency: 5
word: year           	frequency: 5
word: flamboyant     	frequency: 5
word: much           	frequency: 4
word: say            	frequency: 4
word: call           	frequency: 4
word: game           	frequency: 4
word: right          	frequency: 4
word: know           	frequency: 4
word: swim           	frequency: 4
word: use            	frequency: 4
word: favorite       	frequency: 4
word: code           	frequency: 3
word: want           	frequency: 3
word: feel           	frequency: 3
word: fake           	frequency: 3
word: spider         	frequency: 3
word: kelly          	frequency: 3
word: give           	frequency: 3
word: manfred        	frequency: 3
word: thing          	frequency: 3
word: since          	frequency: 3
word: could          	frequency: 3
word: lot            	frequency: 3
word: would          	frequency: 3
word: try            	frequency: 3
word: name           	frequency: 3
word: find           	frequency: 3
word: fish           	frequency: 3
word: learn          	frequency: 3
word: small          	frequency: 3
word: specie         	frequency: 3
word: captain        	frequency: 3
word: art            	frequency: 3
word: life           	frequency: 3
word: today          	frequency: 3
